y_true,y_pred,residual
924577800.0,623747100.0,300830720.0
1181520900.0,1772196900.0,-590676000.0
2290135000.0,2646975500.0,-356840450.0
8327913500.0,9302994000.0,-975080450.0
25893999000.0,19834814000.0,6059184000.0
22866862000.0,27138950000.0,-4272087000.0
148872200.0,84489220.0,64382976.0
178001920.0,903706600.0,-725704700.0
1843341300.0,1874717700.0,-31376384.0
8024277000.0,7294056000.0,730221060.0
6935339000.0,7536676000.0,-601336800.0
6979465000.0,7432681500.0,-453216260.0
2841363000.0,8023240700.0,-5181878000.0
6162318000.0,7432301600.0,-1269983700.0
8335738000.0,6443494400.0,1892243500.0
627179500.0,597846000.0,29333504.0
1026411500.0,789057540.0,237353980.0
860940300.0,547870700.0,313069570.0
19585167000.0,19620194000.0,-35026944.0
21445230000.0,20875416000.0,569815040.0
18056393000.0,20269937000.0,-2213544000.0
14457223000.0,18540590000.0,-4083366000.0
19866753000.0,18807106000.0,1059647500.0
16008340000.0,18609705000.0,-2601364500.0
13140723000.0,13345626000.0,-204903420.0
8937734000.0,11987616000.0,-3049881600.0
6863038500.0,10664990000.0,-3801951200.0
615805950.0,1202647000.0,-586841100.0
2098721800.0,1560063000.0,538658800.0
1465683000.0,1851314200.0,-385631230.0
11126971000.0,12332586000.0,-1205614600.0
14953022000.0,13481683000.0,1471339500.0
12805988000.0,18961380000.0,-6155391000.0
1509831700.0,1835131900.0,-325300220.0
2177862700.0,2063532000.0,114330620.0
2339849200.0,1935637500.0,404211700.0
15359455000.0,40135210000.0,-24775754000.0
28130690000.0,45599298000.0,-17468609000.0
16451019000.0,42088546000.0,-25637528000.0
18951518000.0,18482240000.0,469278720.0
12639500000.0,14771249000.0,-2131748900.0
11942874000.0,13036716000.0,-1093841900.0
130008060.0,71202820.0,58805250.0
226172930.0,315610100.0,-89437180.0
264680450.0,369944580.0,-105264130.0
15415494000.0,14683740000.0,731753500.0
23830524000.0,16448639000.0,7381885000.0
19675378000.0,16490662000.0,3184715800.0
1638782000.0,1492467700.0,146314240.0
1551130600.0,2137764900.0,-586634240.0
3286495700.0,2783718000.0,502777860.0
11096051000.0,10437270000.0,658781200.0
8442949600.0,8850990000.0,-408040450.0
8312511500.0,9435268000.0,-1122756600.0
6516470300.0,8368014300.0,-1851544000.0
10794103000.0,12556899000.0,-1762796500.0
10186526000.0,10895685000.0,-709158900.0
11376780000.0,9651924000.0,1724856300.0
19771240000.0,11815237000.0,7956004000.0
16520993000.0,11883814000.0,4637179000.0
2603183000.0,2634084900.0,-30901760.0
4054649300.0,2733210000.0,1321439200.0
593110000.0,2811681300.0,-2218571300.0
2030715900.0,3034966000.0,-1004250100.0
3578092500.0,3264984600.0,313107970.0
2865371600.0,3393111600.0,-527739900.0
14809710000.0,11480174000.0,3329536000.0
10208073000.0,13005041000.0,-2796968000.0
8795575000.0,9693561000.0,-897985540.0
729983000.0,2825257000.0,-2095274000.0
863427600.0,3240112000.0,-2376684500.0
2354329600.0,3660153900.0,-1305824300.0
25920252000.0,37202750000.0,-11282500000.0
31300686000.0,33052062000.0,-1751375900.0
26068509000.0,25545515000.0,522993660.0
1452820500.0,1130227700.0,322592770.0
1197074400.0,1552179200.0,-355104770.0
875466750.0,1323598800.0,-448132100.0
3715589600.0,4857944000.0,-1142354400.0
10659285000.0,6568187000.0,4091098000.0
11371469000.0,8179543000.0,3191925800.0
2634979800.0,2981891000.0,-346911230.0
2255336400.0,3031516200.0,-776179700.0
1869463600.0,2751147000.0,-881683460.0
33178320000.0,23709057000.0,9469264000.0
30884320000.0,23045192000.0,7839127600.0
26035923000.0,18942194000.0,7093729300.0
91416580.0,387339260.0,-295922700.0
147503100.0,262634500.0,-115131390.0
117498880.0,250100740.0,-132601860.0
5210688000.0,6030959000.0,-820271100.0
6231047000.0,4862889500.0,1368157700.0
5068910600.0,3699747800.0,1369162800.0
641267700.0,977838100.0,-336570370.0
1700970500.0,1033515000.0,667455500.0
